index	q1	count	category
1	혼인신고는 어디에서 신고하나요?	0	0
2	혼인신고를 늦게할 경우 과태료는 없는건가요?	0	0
3	지방세를 온라인으로 납부 할 수 있나요?	0	0
4	신혼부부를 위한 주택구입시 대출지원 사업이 있나요?	0	0
5	아트센터 대관 신청 방법에 대해 문의드립니다.	0	0
6	경기도 임산부 지원에 대해 궁금합니다.	0	0
7	돌봄서비스에 대해 문의드려요	0	0
8	다함께 돌봄사업에 필요한 구비서류 알려주시겠어요?	0	0
9	귀농에 관련된 지원사업이 있나요?	0	0
10	난임부부에 대한 지원제도가 있나요?	0	0
11	에너지바우처가 뭔가요?	0	0
12	에너지바우처는 어떻게 신청하나요?	0	0
13	주민등록증 재발급하려면 어떻게 하나요?	0	0
14	인터넷으로 주민등록증 재발급 하려면 어떻게 해야하죠?	0	0
15	주민등록증 온라인으로 재발급 하기 위해 사진을 어떤 파일로 준비해야 하나요?	0	0
16	주민등록증 재발급 비용은 얼마인가요?	0	0
17	서울시에서 진행하는 청년 임차보증금 이자 지원사업에 대해 알려주세요	0	0
18	사대 불법주차 금지 구역을 알려주시겠어요?	0	0
19	사대 불법주차 금지 구역의 주민 신고 제도가 있나요?	0	0
20	보건증을 발급받으려고 하는데 어떻게 하나요?	0	0
21	보건증 발급 방법을 설명해 주시겠어요?	0	0
22	보건증을 발급받을 때 신분증이 필요하나요?	0	0
23	보건증 발급 수수료는 얼마인가요?	0	0
24	보건증 발급 후 수령 할 때 대리인 수령이 가능한가요?	0	0
25	온라인으로 보건증을 발급 받을 수도 있나요?	0	0
26	보건증 유효기간은 얼마인가요?	0	0
27	여성안심택배를 이용하고 싶은데 어떻게 찾나요?	0	0
28	여성안심택배는 언제부터 시작했나요?	0	0
29	보통 어떤 곳에 여성안심택배를 설치해 놓았나요?	0	0
30	인감보호 신청이 뭔가요?	0	0
31	인감보호 신청은 어디서 하나요?	0	0
32	인감증명서는 인터넷 발급되지 않나요?	0	0
33	인감증명서를 대리인이 발급받으려면 무엇을 가지고 가야하나요?	0	0
34	인감 대리신고를 하고자 할 때 어떤 서류가 있어야 가능한가요?	0	0
35	보건소 운영시간이 어떻게 되나요?	0	0
36	니코틴 패치가 담배에 대한 욕구를 낮춰주나요?	0	0
37	경복궁에서 하는 행사중에서 밤에 하는 행사가 있나요?	0	0
38	문화누리카드 신청대상자가 누구인지 알려주시겠어요?	0	0
39	문화누리카드는 왜 만들게 되었죠?	0	0
40	문화누리카드의 사용 범위는 어떻게 되나요?	0	0
41	문화누리카드는 얼마를 지원해주나요?	0	0
42	문화누리카드 신청방법에 대해 얘기해 주시겠어요?	0	0
43	문화누리카드의 사용 방법에 대해 알려주세요	0	0
44	문화누리카드의 올해 쓰지 못한 금액은 내년으로 이월이 되나요?	0	0
45	문화누리카드 사용시 주의사항이 있을까요?	0	0
46	결식아동 급식지원 신청을 하려면 어떻게 해야 하나요?	0	0
47	결식아동 급식지원을 받는 연령은 몇살까지 인가요?	0	0
48	학교에 다니지 않는 학생은 결식아동 급식지원을 받을 수 있나요?	0	0
49	결식아동 급식지원에 대해 자세히 물어보려면 어디로 전화하면 될까요?	0	0
50	세대 분리 신청은 어디서 하나요?	0	0
51	미세먼지 비상저감조치가 무엇인가요?	0	0
52	미세먼지 비상저감조치 대상차는 어떤 차인가요?	0	0
53	서울시에서 배출가스 오등급차가 운행 할 수 없는 지역이 있나요?	0	0
54	서울시의 녹색교통지역은 어디를 말하죠?	0	0
55	노후 경유차 운행제한에 걸리지 않으려면 어떻게 해야 하죠?	0	0
56	노후 경유차를 폐차시키면 정부에서 혜택을 주는게 있나요?	0	0
57	서울시에서 추진하는 공동체주택이 무엇인가요?	0	0
58	공동체주택은 어떤 종류가 있나요?	0	0
59	서울시 희망두배 청년통장에 대해 설명 좀 해주시겠어요?	0	0
60	서울시 희망두배 청년통장의 신청자격은 어떻게 되나요?	0	0
61	서울시 돌봄 에스오에스센터는 누구나 이용할 수 있나요?	0	0
62	서울시 돌봄 에스오에스센터는 어떻게 이용할 수 있습니까?	0	0
63	서울시 돌봄 에스오에스센터는 어떤 도움을 주나요?	0	0
64	서울시 돌봄 에스오에스센터의 서비스는 어떻게 제공되죠?	0	0
65	서울형 긴급복지 지원제도가 무엇인가요?	0	0
66	서울형 긴급복지 지원제도의 갑자스러운 위기사유는 어떤 것을 말하나요?	0	0
67	서울형 긴급복지 지원제도의 긴급복지지원 선정기준이 있나요?	0	0
