index	audio	video	response
1	0_00001.wav	0_00001.mp4	혼인신고는 가까운 구청에서 하시면 됩니다.
2	0_00002.wav	0_00002.mp4	혼인신고를 늦게 하여도 과태료는 없습니다.
3	0_00003.wav	0_00003.mp4	지방세는 위택스 앱 다운받으셔서 납부 하시면 됩니다.
4	0_00004.wav	0_00004.mp4	신혼부부를 위해 대출금리가 삼점 오 퍼센트정도인 신혼부부 보금자리론이 있습니다.
5	0_00005.wav	0_00005.mp4	아트센터를 대관하기 위해서는 공연계획서를 준비하여 홈페이지에서 온라인 신청이나 방문신청 가능합니다.
6	0_00006.wav	0_00006.mp4	경기도는 출산 지원금으로 백만원, 산후조리원비로 오십만원을 지원합니다.
7	0_00007.wav	0_00007.mp4	정부이십사에서 신청할 수 있는 다함께 돌봄사업이 있습니다.
8	0_00008.wav	0_00008.mp4	다함께 돌봄 신청서와 맞벌이 증빙서류가 필요합니다.
9	0_00009.wav	0_00009.mp4	지자체에서 지원하는 귀농 농업창업, 주택 지원사업이 있습니다.
10	0_00010.wav	0_00010.mp4	난임부부 수술비용이 최대 오회까지 이십만원씩 지원됩니다.
11	0_00011.wav	0_00011.mp4	에너지 취약계층의 여름과 겨울을 지원하는 제도입니다.
12	0_00012.wav	0_00012.mp4	에너지바우처는 행정복지센터에 방문하여 신청하시면 됩니다.
13	0_00013.wav	0_00013.mp4	주민등록증 재발급 하시려면 주민센터를 방문하시거나 인터넷으로 재발급 신청 하시면 됩니다.
14	0_00014.wav	0_00014.mp4	주민등록증 재발급은 인터넷으로 정부이십사를 검색하고 홈페이지를 클릭하시면 됩니다.
15	0_00015.wav	0_00015.mp4	사진은 제이피쥐 사진만 가능하고 모자 미착용 사진으로 올려주시면 됩니다. 수령은 해당 기관으로 방문하여 주세요.
16	0_00016.wav	0_00016.mp4	주민등록증 재발급 민원수수료는 오천원이고 온라인으로 처리시 부가수수료가 추가되어 오천 이백원입니다.
17	0_00017.wav	0_00017.mp4	청년 임차보증금 이자 지원사업은 만 십구세에서 만 삼십구세까지의 청년에게 임차보증금의 구십 퍼센트이내로 최대 칠천만원까지 대출해 드립니다.
18	0_00018.wav	0_00018.mp4	사대 불법주정차 금지구역은 소화전 오 미터 이내,교차로 모퉁이 오 미터 이내,버스정류장 십 미터 이내,횡단보도 위입니다.
19	0_00019.wav	0_00019.mp4	사대 불법 주정차를 목격한 사람이라면 누구나 안전신문고 앱을 통해 신고가 가능합니다.
20	0_00020.wav	0_00020.mp4	보건증은 보건소에서 발급을 하나 현재 코로나 일구때문에 보건증 업무를 한국건강관리협회나 기타 보건기관에 위탁하기도 합니다.
21	0_00021.wav	0_00021.mp4	보건증 발급 방법은 가까운 보건소에 방문하셔서 건강진단 결과를 작성하고 수수료를 지불합니다.
22	0_00022.wav	0_00022.mp4	보건증을 발급받을 때는 주민등록증,운전면허증,여권 등의 신분증을 제시하시면 됩니다.
23	0_00023.wav	0_00023.mp4	보건증 발급 수수료는 삼천원입니다.
24	0_00024.wav	0_00024.mp4	보건증을 대리수령 하려면 대리인 수령 위임장이 필요합니다.
25	0_00025.wav	0_00025.mp4	보건증은 보건소홈페이지,공공보건포털,정부이십사 홈페이지에서 온라인으로 발급가능합니다.
26	0_00026.wav	0_00026.mp4	보건증 유효기간은 발급일로부터 일년이며 매년 한번씩 건강진단을 받으셔야 합니다.
27	0_00027.wav	0_00027.mp4	여성안심택배는 스마트서울맵을 이용하거나 네이버지도에서 여성안심택배함을 검색하시고 주변 택배함 위치를 확인하시면 됩니다
28	0_00028.wav	0_00028.mp4	여성안심택배는 서울시가 이천 십삼년부터 전국 최초로 도입해 운영하고 있습니다
29	0_00029.wav	0_00029.mp4	여성안심택배는 일반적으로 사람들의 왕래가 잦은 지하철역,버스정류장 주변,주민센터,문화센터등에 설치되어있습니다
30	0_00030.wav	0_00030.mp4	인감보호 신청은 본인의 인감을 보호해달라는 특별한 의사의 표시로 본인 또는 본인이 지정한 사람만 본인의 인감증명서를 발급받을 수 있도록 사전에 제한을 요청하는 것입니다
31	0_00031.wav	0_00031.mp4	인감보호 신청은 전국 인감증명서 발급기관에서 신분증만 있으면 주소 상관없이 신청 가능합니다
32	0_00032.wav	0_00032.mp4	인감증명서는 온라인 발급이 불가능하고 본인이나 대리인이 직접 동사무소에 방문하셔서 발급받으셔야 합니다
33	0_00033.wav	0_00033.mp4	인감증명서를 대리인이 발급받으려면 동사무소에 대리인 신분증,인감주인 신분증,도장을 준비해서 가시면 됩니다
34	0_00034.wav	0_00034.mp4	인감 대리신고를 하려면 입원확인서 및 의사 진단서가 필요합니다. 진단서에는 병이 중하여 시설이나 병원 밖으로 거동해서는 안된다는 내용과 거동은 불편하나 정상적인 의사 표현이 가능하다는 내용이 반드시 들어가야 합니다
35	0_00035.wav	0_00035.mp4	보건소는 아홉시부터 십팔시 까지 운영합니다
36	0_00036.wav	0_00036.mp4	니코틴 패치는 담배에 대한 욕구를 억제하고 담배를 피우는 습관을 없애는 데 도움을 준다고 합니다
37	0_00037.wav	0_00037.mp4	경복궁 야간 특별관람과 별빛야행 프로그램이 있습니다
38	0_00038.wav	0_00038.mp4	문화누리카드는 기초생활 수급자와 차상위계층이 신청할 수 있습니다
39	0_00039.wav	0_00039.mp4	문화누리카드는 국민의 기초 문화생활을 보장하기 위해 만들어진 카드입니다
40	0_00040.wav	0_00040.mp4	문화누리카드는 문화예술,여행,체육 쪽에서 사용할 수 있습니다
41	0_00041.wav	0_00041.mp4	문화누리카드의 지원 금액은 연간 일인당 팔만원의 예산 범위내에서 신청자에 한해 발급하고 있습니다
42	0_00042.wav	0_00042.mp4	문화누리카드 신청방법은 방문발급과 인터넷 발급법이 있습니다. 방문발급은 신청자 본인의 주소지 주민센터에서 방문 후 신청하는 것이고, 인터넷 발급은 문화누리 홈페이지 접속하여 신청하는 것 입니다.
43	0_00043.wav	0_00043.mp4	문화누리카드 사용 방법은 문화누리 홈페이지에서 오프라인 가맹점 또는 온라인 가맹점을 클릭하면 사용처에 대한 정보가 나와있습니다
44	0_00044.wav	0_00044.mp4	아닙니다 문화누리카드의 남은 금액은 사업 종료일이 지나면 자동으로 소멸됩니다
45	0_00045.wav	0_00045.mp4	문화누리카드는 발급한 본인이 사용해야 하며 마트,백화점 내 서점, 지정된 가맹점이 아닌 온라인 사이트 등에서는 사용이 불가합니다
46	0_00046.wav	0_00046.mp4	결식아동 급식지원 신청은 지원받을 대상 아동의 관할 소재지 주민센터에 가셔서 지원기준에 적합한지 상담을 받고 신청 할 수 있습니다
47	0_00047.wav	0_00047.mp4	결식아동 급식지원의 지원연령은 십팔세 미만의 취학 및 미취학 아동입니다
48	0_00048.wav	0_00048.mp4	학교를 다니지 않는 십팔세 미만의 아동도 결식아동 급식지원을 지원받을 수 있습니다
49	0_00049.wav	0_00049.mp4	결식아동 급식지원은 관할 구청 가족정책과로 문의하시면 됩니다
50	0_00050.wav	0_00050.mp4	세대 분리 신청은 관할 주민센터나 온라인으로는 민원 이십사에서 신청 할 수 있습니다
51	0_00051.wav	0_00051.mp4	미세먼지 비상저감조치는 미세먼지기준이 환경부령이 정한 일정기준 초과하였을 경우 노후 경유차의 운행을 제한하는 제도입니다
52	0_00052.wav	0_00052.mp4	미세먼지 비상저감조치 대상차는 배출가스 오등급으로 분류된 모든 자동차가 해당됩니다
53	0_00053.wav	0_00053.mp4	배출가스 오등급차가 운행 할 수 없는 지역은 한양도성내부 입니다
54	0_00054.wav	0_00054.mp4	서울시의 녹색교통지역은 종로구의 청운 효자동, 사직동, 삼청동, 가화동, 종로, 이화동, 혜화동과 중구의 소공동, 회현동, 명동, 필동, 장충동, 광희동, 을지로동이 해당됩니다
55	0_00055.wav	0_00055.mp4	노후 경유차 운행제한에 걸리지 않으려면 자동차에 매연저감장치를 설치하고, 저공해엔진개조나 조기폐차하는 방법이 있습니다.
56	0_00056.wav	0_00056.mp4	노후 경유차를 폐차하였을 시 정부에서 배기량에 따라 삼백만원에서 최대 사천만원까지 지원금을 지급해 주는 제도가 있습니다.
57	0_00057.wav	0_00057.mp4	공동체주택은 소규모 공동주택 안에 독립된 공동체 공간을 갖추고 있고, 공동체 주택 관리 규칙이 마련된 주택입니다
58	0_00058.wav	0_00058.mp4	공동체주택의 종류는 공급방식에 따라 자기소유형 주택,민관협력형 주택,민간임대형 주택,공공임대형 주택으로 네가지가 있습니다
59	0_00059.wav	0_00059.mp4	희망두배 청년통장은 이년에서 삼년 매월 근로소득으로 저축하는 금액의 동일한 금액을 서울시 예산과 시민의 후원금등으로 적립지원하는 통장입니다
60	0_00060.wav	0_00060.mp4	희망두배 청년통장의 신청자격은 공고일 기준으로 근로중인 서울시 거주자입니다
61	0_00061.wav	0_00061.mp4	돌봄 에스오에스센터는 본인 또는 가족의 돌봄과 관련하여 궁금증과 어려움을 가진 서울시민을 대상으로 합니다
62	0_00062.wav	0_00062.mp4	돌봄 에스오에스센터 이용 방법은 구청 복지정책과,동주민센터에 전화나 방문을 통해 서비스를 신청 할 수 있습니다
63	0_00063.wav	0_00063.mp4	돌봄 에스오에스센터는 돌봄과 관련된 다양한 어려움에 도움을 드리고자 하며 특히 갑작스러운 일시적 위기의 상황에 대응한 서비스제공에 초점을 두고 있습니다
64	0_00064.wav	0_00064.mp4	돌봄 에스오에스센터 서비스는 돌봄매니저가 긴급출동 또는 방문확인을 통해 돌봄과 관련된 어려움을 직접 파악한 후 적합한 돌봄계획을 수립하고 자치구와 협약된 전문제공기관에서 서비스를 제공합니다
65	0_00065.wav	0_00065.mp4	서울형 긴급복지 지원제도는 갑작스러운 위기 사유의 발생으로 생계유지가 곤란한 저소득 위기가구에 대히 생계비 등을 신속하게 제공하여 안정적 생활을 유지하도록 지원하는 제도입니다
66	0_00066.wav	0_00066.mp4	긴급복지 지원제도의 갑자스러운 위기사유는 주소득자의 사망,가출,행방불명등의 사유로 소득을 상실한 경우,중한 질병 또는 부상을 당한 경우, 가구구성원으로부터 방임,유기되거나 학대 등을 당한 경우,화재등으로 인하여 거주하는 주택 또는 건물에서 생활하기 곤란하게 된 경우등등이 있습니다
67	0_00067.wav	0_00067.mp4	긴급복지 지원제도의 긴급복지지원 선정기준은 코로나일구와 관련하여 한시적으로 기준이 완화되어 소득기준 중위소득 백퍼센트이하,재산기준 삼억 이천 육백만원이하,금융재산기준 천만원이하입니다
68	0_00068.wav	0_00068.mp4	긴급복지 지원제도는 거주지 구청이나 동주민센터에서 신청 가능합니다
69	0_00069.wav	0_00069.mp4	긴급복지 지원제도에 대해서는 동주민센터,구청,다산콜센터로 전화 주시면 자세히 안내해 드립니다
70	0_00070.wav	0_00070.mp4	노숙인 복지시설에는 종합지원센터,일시보호시설,자활시설,재활시설,요양시설,쪽방상담소 등이 있습니다
71	0_00071.wav	0_00071.mp4	서울에는 다시서기,브릿지,영등포보현 등 세개의 종합지원센터와 만나샘,옹달샘,햇살보금자리,디딤센터 등 네개의 일시보호시설이 있습니다
72	0_00072.wav	0_00072.mp4	노숙인 복지시설에서는 일시적인 숙식 제공,의료지원,샤워,이미용 서비스를 제공합니다
73	0_00073.wav	0_00073.mp4	의료급여는 노숙인 일시보호시설,자활시설 입소자중 노숙인 해당기간이 지속적으로 삼개월 이상 유지된 것으로 확인된 사람과 국민건강보험에 가입되어 있지 않거나 건강보험료가 육개월이상 체납된 사람이 해당됩니다
74	0_00074.wav	0_00074.mp4	노숙인시설 담당자와 상담 후 구비서류를 작성하시거나 의료급여 혜택을 받지 못하는 분은 노속인 종합지원센터 상담을 통해 서울시 의료보호증을 신청할 수 있습니다
75	0_00075.wav	0_00075.mp4	서울역 무료진료소와 영등포 무료진료소에서 의료보호증이 없이 진료받을 수 있습니다
76	0_00076.wav	0_00076.mp4	어르신 맞춤형 스마트폰 보급은 엘쥐전자와 케이티엠모바일,하이프라자 네개 기관과 협력으로 어르신 맞츰형 스마트폰 보급에 나서고 있습니다
77	0_00077.wav	0_00077.mp4	어르신 맞춤형 스마트폰 보급으로 받은 핸드폰은 월 이만원 이하로 저렴하게 이용할 수 있습니다
78	0_00078.wav	0_00078.mp4	어르신 맞춤형 스마트폰 보급 가입대상은 가입대상은 만 육십오세 이상 서울시민입니다
79	0_00079.wav	0_00079.mp4	어르신 맞춤형 스마트폰을 보급한 후, 기본 사용법 교육을 지원하고 있습니다
80	0_00080.wav	0_00080.mp4	나혼자 한강따라걷기 챌린지는 서울시 걷기 앱 워크온을 다운받으면 길 안내자 없이도 누구나 모바일 앱을 통해 혼자 걷기를 할 수 있습니다
81	0_00081.wav	0_00081.mp4	나혼자 한강따라걷기 챌린지의 열두개 코스의 일코스는 서울시청에서 한양대역, 이코스는 한양대역에서 강변역, 삼코스는 강변역에서 잠실나루역, 사코스는 잠실나루역에서 잠실역, 오코스는 잠실역에서 서울숲역, 육코스는 서울숲역에서 한남역, 칠코스는 한남역에서 동작진등등 열두개의 코스가 있습니다
82	0_00082.wav	0_00082.mp4	지방세 납세 증명서는 가까운 행정복지센터로 가셔도 되고 인터넷으로 정부 이십사 홈페이지에서 발급이 가능합니다
83	0_00083.wav	0_00083.mp4	지방세 완납 증명서는 가까운 읍면동사무소나 인터넷으로 정부 이십사 홈페이지에서 발급받을 수 있습니다
84	0_00084.wav	0_00084.mp4	주정차위반 과태료 조회는 서울시 교통위반 단속조회 서비스인 카택스에서 조회하실 수 있습니다
85	0_00085.wav	0_00085.mp4	조회가능한 자동차 과태료는 주정차위반,전용차로 위반,녹색교통지역 운행제한 위반,자동차세 체납,의무보험 미가입,정기검사미필 과태료를 조회하실 수 있습니다
86	0_00086.wav	0_00086.mp4	과태료 조회하는 방법은 서울시 교통위반 단속조회 서비스를 접속하시고 차량번호 조회하기를 하시면 됩니다
87	0_00087.wav	0_00087.mp4	사망자의 제적등본을 위해서는 주민등록번호를 알고있어야 합니다
88	0_00088.wav	0_00088.mp4	보건증은 보건소에서 발급 받으나 현재 코로나 일구로 인해 업무를 안하는 곳이 많아 관할 보건소에 먼저 문의를 해보시는 게 좋습니다
89	0_00089.wav	0_00089.mp4	보건증은 일년마다 갱신해야 하며, 학교급식 종사자는 육개월에 한번씩 갱신하셔야 합니다
90	0_00090.wav	0_00090.mp4	세목별과세증명서는 관할 주민센터에서 발급받을 수도 있고 요즘에는 인터넷으로 위텍스, 정부이십사 홈페이지에서 발급 받으실 수 있습니다
91	0_00091.wav	0_00091.mp4	세목별과세증명서 발급받을 때에는 상호,과세물건지 주소,과세년도,신청부수,사용목적,주민번호 공개여부를 직접 입력하시면 됩니다
92	0_00092.wav	0_00092.mp4	현재 서초구 보건소에서 삼천 팔십 구민건강검진 진행중입니다
93	0_00093.wav	0_00093.mp4	삼천 팔십 구민건강검진은 체위검사,폐결핵검사,뇨검사,혈액검사를 해드립니다
94	0_00094.wav	0_00094.mp4	삼천 팔십 구민건강검진비는 오천원입니다
95	0_00095.wav	0_00095.mp4	행복서초건강검진을 받으려면 미리 예약할 필요는 없고 평일 오전 아홉시에서 열 한시 방문하시면 됩니다
96	0_00096.wav	0_00096.mp4	보건소에서 국민건강보험공단의 건강검진을 받으실 수 있습니다
